2019-05-03*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*10,6*0,5*6,0*23:39*15,1*13:44*02*1,1*7,2*16:57*6,2*1004,2*00*1002,0*16
2019-05-04*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*10,6*0,0*5,5*01:35*15,6*12:36*09*2,5*10,3*22:26*7,7*1006,5*Varias*1001,4*04
2019-05-05*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*9,6*0,0*5,5*23:43*13,7*13:31*99*7,8*15,0*Varias*12,2*1006,5*10*1003,9*23
2019-05-06*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*9,4*0,0*4,1*03:54*14,8*15:22*99*2,5*5,8*Varias*8,4*1004,0*00*1002,1*24
2019-05-07*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*14,9*1,4*10,5*00:08*19,3*10:22*21*3,3*8,3*07:16*0,0*1002,2*00*990,1*24
2019-05-08*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*16,6*0,0*12,3*05:20*20,8*14:18*26*9,4*25,8*12:35*7,1*994,6*Varias*988,7*02
2019-05-09*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*12,4*30,4*9,8*16:13*15,0*08:23*99*2,8*11,4*Varias*0,0*996,4*Varias*991,7*19
2019-05-10*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*15,8*0,0*12,6*Varias*19,1*Varias*99*4,2*11,7*17:11*8,5*1005,7*Varias*992,6*02
2019-05-11*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*12,8*0,0*9,3*23:03*16,2*15:03*29*3,1*8,9*02:05*12,0*1014,2*22*1005,6*01
2019-05-12*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*12,6*0,0*7,5*04:54*17,6*13:03*11*6,9*15,0*15:36*13,3*1013,7*00*1010,5*17
2019-05-13*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*12,4*0,0*7,2*03:04*17,6*11:23*11*6,7*16,9*17:42*13,4*1011,5*00*1006,8*24
2019-05-14*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*12,7*0,0*5,3*04:54*20,1*11:12*99*5,8*12,5*Varias*13,4*1006,8*00*1001,0*24
2019-05-15*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*14,6*0,0*7,8*03:15*21,3*12:50*99*4,2*11,4*Varias*12,9*1001,0*00*998,0*15
2019-05-16*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*13,5*11,9*10,5*20:29*16,5*11:51*28*5,6*21,1*23:45*0,0*998,4*00*994,1*23
2019-05-17*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*11,5*12,1*8,5*23:21*14,5*15:30*29*6,4*22,2*00:03*2,5*999,2*Varias*994,2*00
2019-05-18*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*10,7*7,1*8,2*01:17*13,2*16:22*29*9,2*16,4*12:40*1,6*1000,5*Varias*996,6*04
2019-05-19*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*12,4*0,0*9,0*Varias*15,8*12:39*30*4,4*10,3*08:41*8,1*1001,8*Varias*999,6*05
2019-05-20*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*11,5*0,0*7,1*04:49*15,9*14:12*23*2,8*9,2*05:10*7,0*1001,9*Varias*999,7*04
2019-05-21*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*12,3*0,0*7,8*04:27*16,8*Varias*11*3,6*10,3*Varias*13,1*1004,7*Varias*1001,2*01
2019-05-22*1212E*ASTURIAS AEROPUERTO*ASTURIAS*127*14,2*0,0*8,3*02:28*20,0*15:49*08*3,1*7,8*12:30*10,6*1004,2*00*1001,8*18
